DWUS_BrandId,AX_RESPONSE_CODE,NAME,ATG_Start_Date,ATG_End_Date,Orders
MACYS,1405002,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,80
MACYS,1405003,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405004,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405005,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,2
MACYS,1405006,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405007,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405008,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405009,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405010,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405011,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405012,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405013,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
MACYS,1405014,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,9
MACYS,1405017,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
4S,1406001,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,
4S,1406002,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,540
4S,1406003,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,
4S,1406004,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,516
4S,1406005,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,11
4S,1406006,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,3
4S,1406007,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,1
4S,1406008,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,
4S,1406009,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,
4S,1406010,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,
4S,1406011,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,4
4S,1406012,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,
4S,1406013,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,1
4S,1406014,MM 4S DM LW CM Direct Mail Jan21,12/10/20,03/21/21,31
WSJ,1407001,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,
WSJ,1407002,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,446
WSJ,1407003,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,
WSJ,1407004,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,"1,930"
WSJ,1407005,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,19
WSJ,1407006,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,5
